名称,URL,速度(MB/s),分类
LiveNOW from FOX (720p),https://fox-foxnewsnow-vizio.amagi.tv/playlist.m3u8,0.802,欧美 SD（41条）
Lotte OneTV (720p),https://onetvhlslive.lotteimall.com/lotteonetvlive/lotteonetvlive.mp4.m3u8,0.866,其它
MIAD-948,http://t33.cdn2020.com/video/m3u8/2025/11/12/8c0a6253/index.m3u8,0.976,其它
NHDTC-122,http://t33.cdn2020.com/video/m3u8/2025/11/10/64732aef/index.m3u8,0.899,其它
NHL (1080p),https://aegis-cloudfront-1.tubi.video/1f4cbb33-cb23-40ab-b54b-2965cc551b32/playlist.m3u8,0.898,其它 高清/HD（158条）
NHTV (720p),http://nonghyup.flive.skcdn.com/nonghyup/_definst_/nhlive/playlist.m3u8,0.970,其它
NOW星影台,https://php.946985.filegear-sg.me/iptv/jacktv.php?id=07jkor,0.992,其它
Omroep West (1080p) [Not 24/7],https://d1axml5ozykh3g.cloudfront.net/live/omroepwest/tv/index.m3u8,0.720,其它 高清/HD（158条）
RTV Drenthe (1080p),https://cdn.rtvdrenthe.nl/live/rtvdrenthe/tv/index.m3u8,0.916,其它 高清/HD（158条）
Republic Bharat (1080p) [Geo-blocked],https://vg-republictvlive.akamaized.net/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/vglive-sk-275673/main.m3u8,0.772,其它 高清/HD（158条）
START-272,https://t33.cdn2020.com/video/m3u8/2026/01/02/ce232842/index.m3u8,0.745,其它
Sat7 Türk (1080p),https://svs.itworkscdn.net/sat7turklive/sat7turk.smil/playlist.m3u8,0.799,其它 高清/HD（158条）
Sky News Extra 1 (540p),https://skynewsau-live.akamaized.net/hls/live/2002689/skynewsau-extra1/master.m3u8,0.899,欧美 SD（41条）
TVBJ1 1080p,http://iptv.4666888.xyz/iptv2A.php?id=26,0.929,其它 SD（412条）
TVB翡翠HD,http://120.238.5.44:1698/hls/83/index.m3u8,0.958,其它
Team USA (1080p),https://amg01416-amg01416c4-firetv-us-4522.playouts.now.amagi.tv/playlist.m3u8,0.951,其它 高清/HD（158条）
The First TV (1080p),https://thefirst-oando.amagi.tv/playlist.m3u8,0.862,其它 高清/HD（158条）
Total Bhakti (1080p),https://d34z4embz0hjf6.cloudfront.net/out/v1/d55b3323a9f142638f897378f0b526fe/index.m3u8,0.716,欧美 高清/HD（15条）
UStad (1080p),http://media.rtvutrecht.nl/live/rtvutrecht/ustad/index.m3u8,0.858,其它 高清/HD（158条）
UStad (1080p),https://d18rwjdhpr8dcw.cloudfront.net/live/rtvutrecht/ustad/index.m3u8,0.929,其它 高清/HD（158条）
